Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, TLC5957,0h:00m:57s,0h:00m:00s,0h:00m:35s,0h:00m:21s,   675 MB,   544 MB,    36 MB,   485 MB,    23 MB
